Attribute Name,AVP Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT
SGSN-Realm,2410,6.4.14,DiameterIdentity,V,,,M
RIA-Flags,2411,6.4.15,Unsigned32,V,,,M
,,,,,,,
@standard,3GPP TS 29.209,,,,,,
#=,,,,,,,
# 3GPP TS 29.209 V6.8.0 (2011-09),,,,,,,
# Policy control over Gq interface,,,,,,,
# ,,,,,,,
# From 3GPP 29209-680.doc,,,,,,,
# ,,,,,,,
# Replaced by 3GPP TS 29.214.,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.209 Table 6.5.1: Gq specific Diameter AVPs,,,,,,,
# Note: Only AVPs not provided by 3GPP TS 29.214.,,,,,,,
#=,,,,,,,
#,,,,,,,
Authorization-Token,506,6.5.7,OctetString,"M,V",P,,
Flow-Grouping,508,6.5.9,Grouped,"M,V",P,,
,,,,,,,
@standard,3GPP TS 29.210,,,,,,
#=,,,,,,,
# 3GPP TS 29.210 V6.7.0 (2006-12),,,,,,,
# Charging rule provisioning over Gx interface,,,,,,,
# ,,,,,,,
# From 3GPP 29210-670.doc,,,,,,,
# ,,,,,,,
# Replaced by 3GPP TS 29.212.,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.210 Table 5.2: Gx specific Diameter AVPs,,,,,,,
# Note: Only AVPs not provided by 3GPP TS 29.212.,,,,,,,
#=,,,,,,,
#,,,,,,,
PDP-Session-Operation,1015,5.2.21,Enumerated,"M,V",P,,
,,,,,,,
@standard,3GPP TS 29.212,,,,,,
#=,,,,,,,
# 3GPP TS 29.212 V15.9.0 (2019-12),,,,,,,
# Policy and Charging Control (PCC); Reference points,,,,,,,
# ,,,,,,,
# From 3GPP 29212-f90.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.212 Table 5.3.0.1: Gx specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
# Change-1.4.0: ADC-Revalidation-Time (2801) Time removed in 3GPP TS 29.212 V12.1.0 (2013-06).,,,,,,,
#,,,,,,,
# Note: Name conflict with 3GPP TS 32.299 3GPP-PS-Data-Off-Status (4406).,,,,,,,
# 3GPP TS 29.212 V14.3.0 (2017-03) CR 1559 added 3GPP-PS-Data-Off-Status (2847).,,,,,,,
# 3GPP TS 32.299 V14.3.0 (2017-03) CR 0760 added 3GPP-PS-Data-Off-Status (4406).,,,,,,,
3GPP-PS-Data-Off-Status,2847,5.3.133,Enumerated,V,P,,M
Access-Availability-Change-Reason,2833,5.3.121,Unsigned32,V,P,,M
Access-Network-Charging-Identifier-Gx,1022,5.3.22,Grouped,"M,V",P,,
Allocation-Retention-Priority,1034,5.3.32,Grouped,V,P,,M
AN-GW-Address,1050,5.3.49,Address,V,P,,M
AN-GW-Status,2811,5.3.100,Enumerated,V,P,,M
APN-Aggregate-Max-Bitrate-DL,1040,5.3.39,Unsigned32,V,P,,M
APN-Aggregate-Max-Bitrate-UL,1041,5.3.40,Unsigned32,V,P,,M
Application-Detection-Information,1098,5.3.91,Grouped,V,P,,M
Bearer-Control-Mode,1023,5.3.23,Enumerated,"M,V",P,,
Bearer-Identifier,1020,5.3.20,OctetString,"M,V",P,,
Bearer-Operation,1021,5.3.21,Enumerated,"M,V",P,,
Bearer-Usage,1000,5.3.1,Enumerated,"M,V",P,,
Charging-Correlation-Indicator,1073,5.3.67,Enumerated,V,P,,M
Charging-Rule-Base-Name,1004,5.3.5,UTF8String,"M,V",P,,
Charging-Rule-Definition,1003,5.3.4,Grouped,"M,V",P,,
Charging-Rule-Install,1001,5.3.2,Grouped,"M,V",P,,
Charging-Rule-Name,1005,5.3.6,OctetString,"M,V",P,,
Charging-Rule-Remove,1002,5.3.3,Grouped,"M,V",P,,
Charging-Rule-Report,1018,5.3.18,Grouped,"M,V",P,,
CoA-Information,1039,5.3.37,Grouped,V,P,,M
CoA-IP-Address,1035,5.3.33,Address,V,P,,M
Conditional-APN-Aggregate-Max-Bitrate,2818,5.3.105,Grouped,V,P,,M
Conditional-Policy-Information,2840,5.3.128,Grouped,V,P,,M
Credit-Management-Status,1082,5.3.102,Unsigned32,V,P,,M
CSG-Information-Reporting,1071,5.3.64,Enumerated,V,P,,M
Default-Access,2829,5.3.120,Enumerated,V,P,,M
Default-Bearer-Indication,2844,5.3.132,Enumerated,V,P,,M
Default-EPS-Bearer-QoS,1049,5.3.48,Grouped,V,P,,M
Default-QoS-Information,2816,5.3.103,Grouped,V,P,,M
Default-QoS-Name,2817,5.3.104,UTF8String,V,P,,M
Event-Report-Indication,1033,5.3.30,Grouped,V,P,,M
Event-Trigger,1006,5.3.7,Enumerated,"M,V",P,,
Execution-Time,2839,5.3.127,Time,V,P,,M
Extended-APN-AMBR-DL,2848,5.3.134,Unsigned32,V,P,,M
Extended-APN-AMBR-UL,2849,5.3.135,Unsigned32,V,P,,M
Extended-GBR-DL,2850,5.3.136,Unsigned32,V,P,,M
Extended-GBR-UL,2851,5.3.137,Unsigned32,V,P,,M
Flow-Direction,1080,5.3.65,Enumerated,V,P,,M
Flow-Information,1058,5.3.53,Grouped,V,P,,M
Flow-Label,1057,5.3.52,OctetString,V,P,,M
Fixed-User-Location-Info,2825,5.3.112,Grouped,V,P,,M
Guaranteed-Bitrate-DL,1025,5.3.25,Unsigned32,"M,V",P,,
Guaranteed-Bitrate-UL,1026,5.3.26,Unsigned32,"M,V",P,,
# Note: HeNB-BBF-FQDN (2803) UTF8String removed in 3GPP TS 29.212 V11.8.0 (2013-03).,,,,,,,
#,,,,,,,
HeNB-Local-IP-Address,2804,5.3.95,Address,V,P,,M
IP-CAN-Session-Charging-Scope,2827,5.3.114,Enumerated,V,P,,M
IP-CAN-Type,1027,5.3.27,Enumerated,"M,V",P,,
# Note: 3GPP TS 29.212 Table 5.3.0.1 row Max-PLR-DL (2852),,,,,,,
# incorrectly lists type as Unsigned32 instead of Float32.,,,,,,,
# 3GPP TS 29.212 clause 5.3.138 uses Float32.,,,,,,,
# ,,,,,,,
# Fix: Max-PLR-DL (2852) type changed from Float32 to Unsigned32.,,,,,,,
Max-PLR-DL,2852,5.3.138,Unsigned32,V,P,,M
# Note: 3GPP TS 29.212 Table 5.3.0.1 row Max-PLR-UL (2853),,,,,,,
# incorrectly lists type as Unsigned32 instead of Float32.,,,,,,,
# 3GPP TS 29.212 clause 5.3.139 uses Float32.,,,,,,,
# ,,,,,,,
# Fix: Max-PLR-UL (2853) type changed from Float32 to Unsigned32.,,,,,,,
Max-PLR-UL,2853,5.3.139,Unsigned32,V,P,,M
Metering-Method,1007,5.3.8,Enumerated,"M,V",P,,
Monitoring-Flags,2828,5.3.115,Unsigned32,V,,,M
Monitoring-Key,1066,5.3.59,OctetString,V,P,,M
Mute-Notification,2809,5.3.98,Enumerated,V,P,,M
Monitoring-Time,2810,5.3.99,Time,V,P,,M
NBIFOM-Mode,2830,5.3.117,Enumerated,V,P,,M
NBIFOM-Support,2831,5.3.116,Enumerated,V,P,,M
NetLoc-Access-Support,2824,5.3.111,Unsigned32,V,P,,M
Network-Request-Support,1024,5.3.24,Enumerated,"M,V",P,,
Offline,1008,5.3.9,Enumerated,"M,V",P,,
Online,1009,5.3.10,Enumerated,"M,V",P,,
Packet-Filter-Content,1059,5.3.54,IPFilterRule,V,P,,M
Packet-Filter-Identifier,1060,5.3.55,OctetString,V,P,,M
Packet-Filter-Information,1061,5.3.56,Grouped,V,P,,M
Packet-Filter-Operation,1062,5.3.57,Enumerated,V,P,,M
Packet-Filter-Usage,1072,5.3.66,Enumerated,V,P,,M
PCC-Rule-Status,1019,5.3.19,Enumerated,"M,V",P,,
# Note: 3GPP TS 29.212 Table 5.3.0.1 row PDN-Connection-ID (1065),,,,,,,
"# missing M, assume MUST NOT.",,,,,,,
# ,,,,,,,
# Change-1.4.0: PDN-Connection-ID (1065) flag M MUST NOT.,,,,,,,
PDN-Connection-ID,1065,5.3.58,OctetString,V,P,,M
PRA-Install,2845,5.3.130,Grouped,V,P,,M
PRA-Remove,2846,5.3.131,Grouped,V,P,,M
Precedence,1010,5.3.11,Unsigned32,"M,V",P,,
Pre-emption-Capability,1047,5.3.46,Enumerated,V,P,,M
Pre-emption-Vulnerability,1048,5.3.47,Enumerated,V,P,,M
Presence-Reporting-Area-Elements-List,2820,5.3.107,OctetString,V,P,,M
Presence-Reporting-Area-Identifier,2821,5.3.108,OctetString,V,P,,M
Presence-Reporting-Area-Information,2822,5.3.109,Grouped,V,P,,M
Presence-Reporting-Area-Node,2855,5.3.141,Unsigned32,V,P,,M
Presence-Reporting-Area-Status,2823,5.3.110,Unsigned32,V,P,,M
Priority-Level,1046,5.3.45,Unsigned32,V,P,,M
# Note: 3GPP TS 29.212 Table 5.3.0.1 row PS-to-CS-Session-Continuity (1099),,,,,,,
"# missing M, assume MUST NOT.",,,,,,,
# ,,,,,,,
# Change-1.4.0: PS-to-CS-Session-Continuity (1099) flag M MUST NOT.,,,,,,,
PS-to-CS-Session-Continuity,1099,5.3.84,Enumerated,V,P,,M
QoS-Class-Identifier,1028,5.3.17,Enumerated,"M,V",P,,
QoS-Information,1016,5.3.16,Grouped,"M,V",P,,
QoS-Negotiation,1029,5.3.28,Enumerated,"M,V",P,,
QoS-Upgrade,1030,5.3.29,Enumerated,"M,V",P,,
RAN-NAS-Release-Cause,2819,5.3.106,OctetString,V,P,,M
RAN-Rule-Support,2832,5.3.122,Unsigned32,V,P,,M
RAT-Type,1032,5.3.31,Enumerated,V,P,,M
Redirect-Information,1085,5.3.82,Grouped,V,P,,M
Redirect-Support,1086,5.3.83,Enumerated,V,P,,M
Removal-Of-Access,2842,5.3.126,Enumerated,V,P,,M
Reporting-Level,1011,5.3.12,Enumerated,"M,V",P,,
Resource-Allocation-Notification,1063,5.3.50,Enumerated,V,P,,M
Resource-Release-Notification,2841,5.3.125,Enumerated,V,P,,M
Revalidation-Time,1042,5.3.41,Time,"M,V",P,,
Routing-Filter,1078,5.3.72,Grouped,V,P,,M
Routing-IP-Address,1079,5.3.73,Address,V,P,,M
Routing-Rule-Definition,1076,5.3.70,Grouped,V,P,,M
Routing-Rule-Identifier,1077,5.3.71,OctetString,V,P,,M
Routing-Rule-Install,1081,5.3.68,Grouped,V,P,,M
Routing-Rule-Remove,1075,5.3.69,Grouped,V,P,,M
Routing-Rule-Failure-Code,2834,5.3.119,Unsigned32,V,P,,M
Routing-Rule-Report,2835,5.3.118,Grouped,V,P,,M
Rule-Activation-Time,1043,5.3.42,Time,"M,V",P,,
Rule-Deactivation-Time,1044,5.3.43,Time,"M,V",P,,
Rule-Failure-Code,1031,5.3.38,Enumerated,"M,V",P,,
Security-Parameter-Index,1056,5.3.51,OctetString,V,P,,M
Session-Release-Cause,1045,5.3.44,Enumerated,"M,V",P,,
TCP-Source-Port,2843,5.3.129,Unsigned32,V,P,,M
TDF-Information,1087,5.3.78,Grouped,V,P,,M
TDF-Application-Identifier,1088,5.3.77,OctetString,V,P,,M
TDF-Application-Instance-Identifier,2802,5.3.92,OctetString,V,P,,M
TDF-Destination-Host,1089,5.3.80,DiameterIdentity,V,P,,M
TDF-Destination-Realm,1090,5.3.79,DiameterIdentity,V,P,,M
TDF-IP-Address,1091,5.3.81,Address,V,P,,M
TFT-Filter,1012,5.3.13,IPFilterRule,"M,V",P,,
TFT-Packet-Filter-Information,1013,5.3.14,Grouped,"M,V",P,,
Traffic-Steering-Policy-Identifier-DL,2836,5.3.123,OctetString,V,P,,M
Traffic-Steering-Policy-Identifier-UL,2837,5.3.124,OctetString,V,P,,M
ToS-Traffic-Class,1014,5.3.15,OctetString,"M,V",P,,
Tunnel-Header-Filter,1036,5.3.34,IPFilterRule,V,P,,M
Tunnel-Header-Length,1037,5.3.35,Unsigned32,V,P,,M
Tunnel-Information,1038,5.3.36,Grouped,V,P,,M
UDP-Source-Port,2806,5.3.97,Unsigned32,V,P,,M
UE-Local-IP-Address,2805,5.3.96,Address,V,P,,M
UE-Status,2854,5.3.140,Unsigned32,V,P,,M
Usage-Monitoring-Information,1067,5.3.60,Grouped,V,P,,M
Usage-Monitoring-Level,1068,5.3.61,Enumerated,V,P,,M
Usage-Monitoring-Report,1069,5.3.62,Enumerated,V,P,,M
Usage-Monitoring-Support,1070,5.3.63,Enumerated,V,P,,M
User-Location-Info-Time,2812,5.3.101,Time,V,P,,M
PCSCF-Restoration-Indication,2826,5.3.113,Unsigned32,V,P,,M
#=,,,,,,,
# 3GPP TS 29.212 Table 5a.3.0.1: Gxx specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
QoS-Rule-Install,1051,5a.3.1,Grouped,"M,V",P,,
QoS-Rule-Remove,1052,5a.3.2,Grouped,"M,V",P,,
QoS-Rule-Definition,1053,5a.3.3,Grouped,"M,V",P,,
QoS-Rule-Name,1054,5a.3.4,OctetString,"M,V",P,,
QoS-Rule-Base-Name,1074,5a.3.7,UTF8String,V,P,,M
QoS-Rule-Report,1055,5a.3.5,Grouped,"M,V",P,,
Session-Linking-Indicator,1064,5a.3.6,Enumerated,"M,V",P,,
#=,,,,,,,
# 3GPP TS 29.212 Table 5b.3.0.1: Sd specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
# Change-1.4.0: ADC-Rule-Base-Name (1095) flag M MUST.,,,,,,,
ADC-Rule-Base-Name,1095,5b.3.4,UTF8String,"M,V",P,,
# Change-1.4.0: ADC-Rule-Definition (1094) flag M MUST.,,,,,,,
ADC-Rule-Definition,1094,5b.3.3,Grouped,"M,V",P,,
# Change-1.4.0: ADC-Rule-Install (1092) flag M MUST.,,,,,,,
ADC-Rule-Install,1092,5b.3.1,Grouped,"M,V",P,,
# Change-1.4.0: ADC-Rule-Name (1096) flag M MUST.,,,,,,,
ADC-Rule-Name,1096,5b.3.5,OctetString,"M,V",P,,
# Change-1.4.0: ADC-Rule-Remove (1093) flag M MUST.,,,,,,,
ADC-Rule-Remove,1093,5b.3.2,Grouped,"M,V",P,,
# Change-1.4.0: ADC-Rule-Report (1097) flag M MUST.,,,,,,,
ADC-Rule-Report,1097,5b.3.6,Grouped,"M,V",P,,
#=,,,,,,,
# 3GPP TS 29.212 Table 5c.3.1.1: St specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Request-Type,2838,5c.3.2,Unsigned32,"M,V",P,,
#=,,,,,,,
# 3GPP TS 29.212 Table E.6.3.1.1: S15 specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
CS-Service-Qos-Request-Identifier,2807,E.6.3.2,OctetString,"M, V",P,,
CS-Service-QoS-Request-Operation,2808,E.6.3.3,Enumerated,"M, V",P,,
CS-Service-Resource-Report,2813,E.6.3.6,Grouped,"M, V",P,,
CS-Service-Resource-Failure-Cause,2814,E.6.3.5,Enumerated,"M, V",P,,
CS-Service-Resource-Result-Operation,2815,E.6.3.4,Enumerated,"M, V",P,,
,,,,,,,
@standard,3GPP TS 29.214,,,,,,
#=,,,,,,,
# 3GPP TS 29.214 V15.7.0 (2019-09),,,,,,,
# Policy and Charging Control over Rx reference point,,,,,,,
# ,,,,,,,
# From 3GPP 29214-f70.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.214 Table 5.3.0.1: Rx specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Abort-Cause,500,5.3.1,Enumerated,"M,V",P,,
Access-Network-Charging-Address,501,5.3.2,Address,"M,V",P,,
Access-Network-Charging-Identifier,502,5.3.3,Grouped,"M,V",P,,
Access-Network-Charging-Identifier-Value,503,5.3.4,OctetString,"M,V",P,,
Acceptable-Service-Info,526,5.3.24,Grouped,"M,V",P,,
AF-Application-Identifier,504,5.3.5,OctetString,"M,V",P,,
AF-Charging-Identifier,505,5.3.6,OctetString,"M,V",P,,
AF-Requested-Data,551,5.3.50,Unsigned32,V,P,,M
AF-Signalling-Protocol,529,5.3.26,Enumerated,V,P,,M
Application-Service-Provider-Identity,532,5.3.29,UTF8String,V,P,,M
Codec-Data,524,5.3.7,OctetString,"M,V",P,,
Content-Version,552,5.3.49,Unsigned64,V,P,,M
Extended-Max-Requested-BW-DL,554,5.3.52,Unsigned32,V,P,,M
Extended-Max-Requested-BW-UL,555,5.3.53,Unsigned32,V,P,,M
Extended-Max-Supported-BW-DL,556,5.3.54,Unsigned32,V,P,,M
Extended-Max-Supported-BW-UL,557,5.3.55,Unsigned32,V,P,,M
Extended-Min-Desired-BW-DL,558,5.3.56,Unsigned32,V,P,,M
Extended-Min-Desired-BW-UL,559,5.3.57,Unsigned32,V,P,,M
Extended-Min-Requested-BW-DL,560,5.3.58,Unsigned32,V,P,,M
Extended-Min-Requested-BW-UL,561,5.3.59,Unsigned32,V,P,,M
Flow-Description,507,5.3.8,IPFilterRule,"M,V",P,,
Flow-Number,509,5.3.9,Unsigned32,"M,V",P,,
Flows,510,5.3.10,Grouped,"M,V",P,,
Flow-Status,511,5.3.11,Enumerated,"M,V",P,,
Flow-Usage,512,5.3.12,Enumerated,"M,V",P,,
GCS-Identifier,538,5.3.36,OctetString,V,P,,M
# Note: 3GPP TS 29.214 Table 5.3.0.1 row IMS-Content-Identifier (563),,,,,,,
"# missing M, assume MUST NOT.",,,,,,,
# ,,,,,,,
# Fix: IMS-Content-Identifier (563) flag M MUST NOT.,,,,,,,
IMS-Content-Identifier,563,5.3.60,OctetString,V,P,,M
# Note: 3GPP TS 29.214 Table 5.3.0.1 row IMS-Content (564),,,,,,,
"# missing M, assume MUST NOT.",,,,,,,
# ,,,,,,,
# Fix: IMS-Content (564) flag M MUST NOT.,,,,,,,
IMS-Content-Type,564,5.3.61,Enumerated,V,P,,M
IP-Domain-Id,537,5.3.35,OctetString,V,P,,M
Max-Requested-Bandwidth-DL,515,5.3.14,Unsigned32,"M,V",P,,
Max-Requested-Bandwidth-UL,516,5.3.15,Unsigned32,"M,V",P,,
Max-Supported-Bandwidth-DL,543,5.3.41,Unsigned32,V,P,,M
Max-Supported-Bandwidth-UL,544,5.3.42,Unsigned32,V,P,,M
MCPTT-Identifier,547,5.3.45,OctetString,V,P,,M
MCVideo-Identifier,562,5.3.45a,OctetString,V,P,,M
Media-Component-Description,517,5.3.16,Grouped,"M,V",P,,
Media-Component-Number,518,5.3.17,Unsigned32,"M,V",P,,
Media-Component-Status,549,5.3.48,Unsigned32,V,P,,M
Media-Sub-Component,519,5.3.18,Grouped,"M,V",P,,
Media-Type,520,5.3.19,Enumerated,"M,V",P,,
MPS-Identifier,528,5.3.30,OctetString,V,P,,M
Min-Desired-Bandwidth-DL,545,5.3.43,Unsigned32,V,P,,M
Min-Desired-Bandwidth-UL,546,5.3.44,Unsigned32,V,P,,M
Min-Requested-Bandwidth-DL,534,5.3.32,Unsigned32,V,P,,M
Min-Requested-Bandwidth-UL,535,5.3.33,Unsigned32,V,P,,M
Priority-Sharing-Indicator,550,5.3.47,Enumerated,V,P,,M
Pre-emption-Control-Info,553,5.3.51,Unsigned32,V,P,,M
Required-Access-Info,536,5.3.34,Enumerated,V,P,,M
Retry-Interval,541,5.3.39,Unsigned32,V,P,,M
Rx-Request-Type,533,5.3.31,Enumerated,V,P,,M
RR-Bandwidth,521,5.3.20,Unsigned32,"M,V",P,,
RS-Bandwidth,522,5.3.21,Unsigned32,"M,V",P,,
Service-Authorization-Info,548,5.3.46,Unsigned32,V,P,,M
Service-URN,525,5.3.23,OctetString,"M,V",P,,
Service-Info-Status,527,5.3.25,Enumerated,"M,V",P,,
Sharing-Key-DL,539,5.3.37,Unsigned32,V,P,,M
Sharing-Key-UL,540,5.3.38,Unsigned32,V,P,,M
Specific-Action,513,5.3.13,Enumerated,"M,V",P,,
SIP-Forking-Indication,523,5.3.22,Enumerated,"M,V",P,,
Sponsor-Identity,531,5.3.28,UTF8String,V,P,,M
Sponsored-Connectivity-Data,530,5.3.27,Grouped,V,P,,M
Sponsoring-Action,542,5.3.40,Enumerated,V,P,,M
,,,,,,,
@standard,3GPP TS 29.215,,,,,,
#=,,,,,,,
# 3GPP TS 29.215 V15.2.0 (2019-09),,,,,,,
# Policy and Charging Control (PCC) over S9 reference point;,,,,,,,
# Stage 3,,,,,,,
# ,,,,,,,
# From 3GPP 29215-f20.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.215 Table 5.3.0.1: S9 specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
DRA-Deployment,2206,5.3.7,Enumerated,V,P,,M
Multiple-BBERF-Action,2204,5.3.6,Enumerated,"M,V",P,,
Subsession-Decision-Info,2200,5.3.1,Grouped,"M,V",P,,
Subsession-Enforcement-Info,2201,5.3.2,Grouped,"M,V",P,,
Subsession-Id,2202,5.3.3,Unsigned32,"M,V",P,,
Subsession-Operation,2203,5.3.4,Enumerated,"M,V",P,,
DRA-Binding,2208,5.3.x,Enumerated,V,P,,M
#=,,,,,,,
# 3GPP TS 29.215 Table A.7.3.1.1: S9a specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
PCRF-Address,2207,A.7.3.1.1,DiameterIdentity,"V,M",P,,
#=,,,,,,,
# 3GPP TS 29.215 Table A.8.3.1.1: S9a* specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
UE-Local-IPv6-Prefix,2205,A.8.3.1,OctetString,"V,M",P,,
,,,,,,,
@standard,3GPP TS 29.217,,,,,,
#=,,,,,,,
# 3GPP TS 29.217 V15.1.0 (2019-09),,,,,,,
# Policy and Charging Control (PCC);,,,,,,,
# Congestion reporting over Np reference point,,,,,,,
# ,,,,,,,
# From 3GPP 29217-f10.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.217 Table 5.3.1.1: Np specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Aggregated-Congestion-Info,4000,5.3.2,Grouped,"V, M",P,,
Aggregated-RUCI-Report,4001,5.3.3,Grouped,"V, M",P,,
Congestion-Level-Definition,4002,5.3.4,Grouped,V,P,,M
Congestion-Level-Range,4003,5.3.5,Unsigned32,V,P,,M
Congestion-Level-Set-Id,4004,5.3.6,Unsigned32,V,P,,M
Congestion-Level-Value,4005,5.3.7,Unsigned32,"V, M",P,,
Congestion-Location-Id,4006,5.3.8,Grouped,V,P,,M
Conditional-Restriction,4007,5.3.9,Unsigned32,V,P,,M
eNodeB-Id,4008,5.3.10,OctetString,"V, M",P,,
IMSI-List,4009,5.3.11,OctetString,"V, M",P,,
RCAF-Id,4010,5.3.12,DiameterIdentity,"V, M",P,,
Reporting-Restriction,4011,5.3.13,Unsigned32,V,P,,M
RUCI-Action,4012,5.3.14,Unsigned32,V,P,,M
Extended-eNodeB-Id,4013,5.3.15,OctetString,"V, ",P,,M
,,,,,,,
@standard,3GPP TS 29.219,,,,,,
#=,,,,,,,
# 3GPP TS 29.219 V15.3.0 (2019-09),,,,,,,
# Policy and Charging Control: Spending Limit Reporting over,,,,,,,
# Sy reference point,,,,,,,
# ,,,,,,,
# From 3GPP 29219-f30.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.219 Table 5.3.0.1: Sy specific Diameter AVPs,,,,,,,
#=,,,,,,,
#,,,,,,,
Pending-Policy-Counter-Information,2905,5.3.5,Grouped,"M,V",P,,
Pending-Policy-Counter-Change-Time,2906,5.3.6,Time,"M,V",P,,
Policy-Counter-Identifier,2901,5.3.1,UTF8String,"M,V",P,,
Policy-Counter-Status,2902,5.3.2,UTF8String,"M,V",P,,
Policy-Counter-Status-Report,2903,5.3.3,Grouped,"M,V",P,,
SL-Request-Type,2904,5.3.4,Enumerated,"M,V",P,,
SN-Request-Type,2907,5.3.7,Unsigned32,V,P,,M
,,,,,,,
@standard,3GPP TS 29.229,,,,,,
#=,,,,,,,
# 3GPP TS 29.229 V15.2.0 (2019-09),,,,,,,
# Cx and Dx interfaces based on the Diameter protocol;,,,,,,,
# Protocol details,,,,,,,
# ,,,,,,,
# From 3GPP 29229-f20.doc,,,,,,,
#=,,,,,,,
#,,,,,,,
#=,,,,,,,
# 3GPP TS 29.229 Table 6.3.1: Diameter Multimedia Application AVPs,,,,,,,
# ,,,,,,,
# Note: AVPs referenced from other sources are not added here.,,,,,,,
#=,,,,,,,
#,,,,,,,
Visited-Network-Identifier,600,6.3.1,OctetString,"M, V",,,
Public-Identity,601,6.3.2,UTF8String,"M, V",,,
Server-Name,602,6.3.3,UTF8String,"M, V",,,
Server-Capabilities,603,6.3.4,Grouped,"M, V",,,
Mandatory-Capability,604,6.3.5,Unsigned32,"M, V",,,
Optional-Capability,605,6.3.6,Unsigned32,"M, V",,,
# Note: Name conflict with 3GPP TS 29.329 User-Data (702).,,,,,,,
# 3GPP TS 29.229 V6.2.0 (2004-09) allocated User-Data (606).,,,,,,,
# 3GPP TS 29.329 V6.2.0 (2004-09) allocated User-Data (702).,,,,,,,
User-Data,606,6.3.7,OctetString,"M, V",,,
SIP-Number-Auth-Items,607,6.3.8,Unsigned32,"M, V",,,
SIP-Authentication-Scheme,608,6.3.9,UTF8String,"M, V",,,
SIP-Authenticate,609,6.3.10,OctetString,"M, V",,,
SIP-Authorization,610,6.3.11,OctetString,"M, V",,,
SIP-Authentication-Context,611,6.3.12,OctetString,"M, V",,,
SIP-Auth-Data-Item,612,6.3.13,Grouped,"M, V",,,
SIP-Item-Number,613,6.3.14,Unsigned32,"M, V",,,
Server-Assignment-Type,614,6.3.15,Enumerated,"M, V",,,
Deregistration-Reason,615,6.3.16,Grouped,"M, V",,,
Reason-Code,616,6.3.17,Enumerated,"M, V",,,
Reason-Info,617,6.3.18,UTF8String,"M, V",,,
Charging-Information,618,6.3.19,Grouped,"M, V",,,
Primary-Event-Charging-Function-Name,619,6.3.20,DiameterURI,"M, V",,,
Secondary-Event-Charging-Function-Name,620,6.3.21,DiameterURI,"M, V",,,
Primary-Charging-Collection-Function-Name,621,6.3.22,DiameterURI,"M, V",,,
Secondary-Charging-Collection-Function-Name,622,6.3.23,DiameterURI,"M, V",,,
User-Authorization-Type,623,6.3.24,Enumerated,"M, V",,,
User-Data-Already-Available,624,6.3.26,Enumerated,"M, V",,,
Confidentiality-Key,625,6.3.27,OctetString,"M, V",,,
Integrity-Key,626,6.3.28,OctetString,"M, V",,,
# Note: User-Data-Request-Type (627) removed in 3GPP TS 29.229 V6.5.0 (2005-06).,,,,,,,
#,,,,,,,
Supported-Features,628,6.3.29,Grouped,V,M,,
Feature-List-ID,629,6.3.30,Unsigned32,V,,,M
Feature-List,630,6.3.31,Unsigned32,V,,,M
Supported-Applications,631,6.3.32,Grouped,V,,,M
Associated-Identities,632,6.3.33,Grouped,V,,,M
Originating-Request,633,6.3.34,Enumerated,"M,V",,,
Wildcarded-Public-Identity,634,6.3.35,UTF8String,V,,,M
SIP-Digest-Authenticate,635,6.3.36,Grouped,V,,,M
Wildcarded-IMPU,636,6.3.43,UTF8String,V,,,M
UAR-Flags,637,6.3.44,Unsigned32,V,,,M
Loose-Route-Indication,638,6.3.45,Enumerated,V,,,M
SCSCF-Restoration-Info,639,6.3.46,Grouped,V,,,M
Path,640,6.3.47,OctetString,V,,,M
Contact,641,6.3.48,OctetString,V,,,M
Subscription-Info,642,6.3.49,Grouped,V,,,M
Call-ID-SIP-Header,643,6.3.49.1,OctetString,V,,,M
From-SIP-Header,644,6.3.49.2,OctetString,V,,,M
To-SIP-Header,645,6.3.49.3,OctetString,V,,,M
Record-Route,646,6.3.49.4,OctetString,V,,,M
Associated-Registered-Identities,647,6.3.50,Grouped,V,,,M
Multiple-Registration-Indication,648,6.3.51,Enumerated,V,,,M
